Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,pos_stat
1665260569.1487167,456,7369,0,GPS1_Frame,42.33887,-71.08803316666668,20.6,327990.9699358379,4689513.153348379,19,T,5
1665260570.1493325,457,7370,0,GPS1_Frame,42.33887,-71.08803366666666,20.5,327990.92874487,4689513.154359858,19,T,5
1665260571.148987,458,7371,0,GPS1_Frame,42.338870833333345,-71.08803433333331,20.4,327990.87609586446,4689513.248243832,19,T,5
1665260572.157674,459,7372,0,GPS1_Frame,42.33887183333333,-71.08803833333334,20.4,327990.549294862,4689513.367378078,19,T,5
1665260573.165659,460,7373,0,GPS1_Frame,42.33887416666667,-71.08804733333332,20.3,327989.81421988376,4689513.644683725,19,T,5
1665260574.1673315,461,7374,0,GPS1_Frame,42.338876833333345,-71.08805816666666,19.9,327988.92902034684,4689513.962712385,19,T,5
1665260575.180373,462,7375,0,GPS1_Frame,42.33887883333333,-71.08806933333335,19.6,327988.01454238093,4689514.20738722,19,T,5
1665260576.148173,463,7376,0,GPS1_Frame,42.3388805,-71.08808066666667,19.3,327987.08542522474,4689514.415385212,19,T,5
1665260577.1512146,464,7377,0,GPS1_Frame,42.33888133333333,-71.0880935,19.1,327986.03046288074,4689514.533882518,19,T,5
1665260578.1530437,465,7378,0,GPS1_Frame,42.338882833333344,-71.088106,19.0,327985.004779095,4689514.725733911,19,T,5
1665260579.153219,466,7379,0,GPS1_Frame,42.33888466666667,-71.08811850000001,18.9,327983.9800043106,4689514.954599587,19,T,5
1665260580.146042,467,7320,0,GPS1_Frame,42.33888633333332,-71.08813199999999,18.8,327982.87239319016,4689515.1669814,19,T,5
1665260581.1566288,468,7321,0,GPS1_Frame,42.33888783333334,-71.0881445,18.8,327981.8467095597,4689515.35883326,19,T,5
1665260582.155121,469,7322,0,GPS1_Frame,42.338889666666674,-71.08815783333333,18.8,327980.75328335294,4689515.589385304,19,T,5
1665260583.1808813,470,7323,0,GPS1_Frame,42.33889166666666,-71.08817099999999,18.7,327979.6740420144,4689515.838107405,19,T,5
1665260584.1521225,471,7324,0,GPS1_Frame,42.338893999999996,-71.08818350000001,18.6,327978.6506309919,4689516.122495072,19,T,5
1665260585.1532931,472,7325,0,GPS1_Frame,42.338896166666665,-71.08819550000001,18.4,327977.6679565081,4689516.387364268,19,T,5
1665260586.155959,473,7326,0,GPS1_Frame,42.33889833333333,-71.08820733333333,18.4,327976.6990124106,4689516.651896413,19,T,5
1665260587.1556187,474,7327,0,GPS1_Frame,42.338899833333336,-71.08821716666667,18.3,327975.893014185,4689516.838354153,19,T,5
1665260588.1787863,475,7328,0,GPS1_Frame,42.338901833333324,-71.08822550000001,18.2,327975.2119523424,4689517.077298467,19,T,5
1665260589.1827476,476,7329,0,GPS1_Frame,42.338905833333335,-71.08822550000001,18.1,327975.2228603171,4689517.521468077,19,T,5
1665260590.1744857,477,7330,0,GPS1_Frame,42.33891066666667,-71.08822416666668,18.0,327975.3458833011,4689518.0554754995,19,T,5
1665260591.181798,478,7331,0,GPS1_Frame,42.33891666666667,-71.0882235,17.8,327975.4171665083,4689518.720381154,19,T,5
1665260592.174541,479,7332,0,GPS1_Frame,42.3389245,-71.08822283333333,17.8,327975.49344919075,4689519.588864548,19,T,5
1665260593.1695473,480,7333,0,GPS1_Frame,42.3389325,-71.088222,17.8,327975.58391666843,4689520.475517821,19,T,5
1665260594.1882186,481,7334,0,GPS1_Frame,42.33894016666667,-71.08822033333334,17.8,327975.7421266772,4689521.323471012,19,T,5
1665260595.178844,482,7335,0,GPS1_Frame,42.338947499999996,-71.08821783333332,17.7,327975.9680791893,4689522.132724119,19,T,5
1665260596.170926,483,7336,0,GPS1_Frame,42.338955166666665,-71.08821783333332,17.7,327975.988986083,4689522.984049214,19,T,5
1665260597.1832235,484,7337,0,GPS1_Frame,42.338963,-71.08821866666668,17.5,327975.9416959628,4689523.855567326,19,T,5
1665260598.1778672,485,7338,0,GPS1_Frame,42.33897000000001,-71.08821983333334,17.6,327975.8646727698,4689524.635224481,19,T,5
1665260599.1538842,486,7339,0,GPS1_Frame,42.33897533333333,-71.08821983333334,17.6,327975.8792167157,4689525.227450633,19,T,5
1665260600.153974,487,7340,0,GPS1_Frame,42.338978,-71.0882175,17.5,327976.0787128832,4689525.518843053,19,T,5
1665260601.152134,488,7341,0,GPS1_Frame,42.33897749999999,-71.08821533333332,17.4,327976.2558432857,4689525.458938387,19,T,5
1665260602.191196,489,7342,0,GPS1_Frame,42.3389785,-71.08821100000002,17.3,327976.61555805424,4689525.56121388,19,T,5
1665260603.185549,490,7343,0,GPS1_Frame,42.33897966666667,-71.08820333333333,17.4,327977.2503332931,4689525.675252703,19,T,5
1665260604.1485562,491,7344,0,GPS1_Frame,42.33897966666667,-71.088194,17.4,327978.01923004753,4689525.656370253,19,T,5
1665260605.1579177,492,7345,0,GPS1_Frame,42.33897916666666,-71.088184,17.4,327978.84168452525,4689525.580617946,19,T,5
1665260606.1549768,493,7346,0,GPS1_Frame,42.33897833333333,-71.08817266666665,17.4,327979.77307243634,4689525.465154146,19,T,5
1665260607.1573524,494,7347,0,GPS1_Frame,42.3389765,-71.0881605,17.6,327980.7703849557,4689525.236962163,19,T,5
1665260608.148779,495,7348,0,GPS1_Frame,42.33897449999999,-71.08814816666667,17.5,327981.7809733498,4689524.989926075,19,T,5
1665260609.1544602,496,7349,0,GPS1_Frame,42.33897233333333,-71.08813566666664,17.5,327982.8048376327,4689524.724045895,19,T,5
