Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,pos_stat
1665262419.102586,73,7539,0,GPS1_Frame,42.33889483333334,-71.08814683333334,6.5,327981.6735733227,4689516.140850566,19,T,5
1665262420.0970619,74,7540,0,GPS1_Frame,42.33889483333334,-71.08814683333334,6.5,327981.6735733227,4689516.140850566,19,T,5
1665262421.0860116,75,7541,0,GPS1_Frame,42.33889483333334,-71.08814683333334,6.5,327981.6735733227,4689516.140850566,19,T,5
1665262422.1030524,76,7542,0,GPS1_Frame,42.33889466666666,-71.08814683333334,6.5,327981.6731188409,4689516.122343497,19,T,5
1665262423.0752707,77,7543,0,GPS1_Frame,42.33889466666666,-71.08814683333334,6.5,327981.6731188409,4689516.122343497,19,T,5
1665262424.09002,78,7544,0,GPS1_Frame,42.33889466666666,-71.08814683333334,6.5,327981.6731188409,4689516.122343497,19,T,5
1665262425.0905573,79,7545,0,GPS1_Frame,42.33889483333334,-71.08814683333334,6.5,327981.6735733227,4689516.140850566,19,T,5
1665262426.0740705,80,7546,0,GPS1_Frame,42.33889466666666,-71.08814683333334,6.5,327981.6731188409,4689516.122343497,19,T,5
1665262427.0732858,81,7547,0,GPS1_Frame,42.33889466666666,-71.08814683333334,6.5,327981.6731188409,4689516.122343497,19,T,5
1665262428.102012,82,7548,0,GPS1_Frame,42.33889466666666,-71.08814683333334,6.5,327981.6731188409,4689516.122343497,19,T,5
1665262429.084643,83,7549,0,GPS1_Frame,42.33889483333334,-71.08814683333334,6.5,327981.6735733227,4689516.140850566,19,T,5
1665262430.0867188,84,7550,0,GPS1_Frame,42.33889483333334,-71.08814683333334,6.5,327981.6735733227,4689516.140850566,19,T,5
1665262431.1150436,85,7551,0,GPS1_Frame,42.33889483333334,-71.08814683333334,6.5,327981.6735733227,4689516.140850566,19,T,5
1665262432.0892537,86,7552,0,GPS1_Frame,42.33889466666666,-71.08814699999999,6.5,327981.65938852355,4689516.122680675,19,T,5
