Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1663993697.3458226,24,154145858,0,GPS1_Frame,42.345616666666665,-71.094515,12.6,327475.43861924333,4690275.452940238,19,T
1663993698.3210146,25,154149459,0,GPS1_Frame,42.345616666666665,-71.094515,12.6,327475.43861924333,4690275.452940238,19,T
1663993699.3154213,26,154153060,0,GPS1_Frame,42.345616666666665,-71.094515,12.6,327475.43861924333,4690275.452940238,19,T
1663993700.3377569,27,154156661,0,GPS1_Frame,42.345616666666665,-71.094515,12.6,327475.43861924333,4690275.452940238,19,T
1663993701.3283765,28,154160262,0,GPS1_Frame,42.345616666666665,-71.094515,12.6,327475.43861924333,4690275.452940238,19,T
1663993702.3329508,29,154163863,0,GPS1_Frame,42.345616666666665,-71.094515,12.6,327475.43861924333,4690275.452940238,19,T
1663993703.324879,30,154167464,0,GPS1_Frame,42.345616666666665,-71.094515,12.6,327475.43861924333,4690275.452940238,19,T
1663993704.3137803,31,154171065,0,GPS1_Frame,42.345616666666665,-71.094515,12.6,327475.43861924333,4690275.452940238,19,T
1663993705.3172617,32,154174666,0,GPS1_Frame,42.345616666666665,-71.094515,12.7,327475.43861924333,4690275.452940238,19,T
1663993706.314971,33,154178267,0,GPS1_Frame,42.345616666666665,-71.094515,12.7,327475.43861924333,4690275.452940238,19,T
1663993707.3170214,34,154181868,0,GPS1_Frame,42.345616666666665,-71.094515,12.7,327475.43861924333,4690275.452940238,19,T
1663993708.3194466,35,154185469,0,GPS1_Frame,42.345616666666665,-71.094515,12.7,327475.43861924333,4690275.452940238,19,T
1663993709.3186743,36,154189070,0,GPS1_Frame,42.345616666666665,-71.094515,12.7,327475.43861924333,4690275.452940238,19,T
1663993710.3092096,37,154192671,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993711.3184175,38,154196272,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993712.3166068,39,154199873,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993713.314584,40,154203474,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993714.315988,41,154207075,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993715.3212793,42,154210676,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993716.319578,43,154214277,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993717.314099,44,154217878,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993718.3173373,45,154221479,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993719.3172288,46,154225080,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993720.320811,47,154228681,0,GPS1_Frame,42.345616666666665,-71.09451333333334,12.8,327475.57590782526,4690275.4495580895,19,T
1663993721.310657,48,154232282,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993722.3181279,49,154235883,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993723.3200326,50,154239484,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993724.3181796,51,154243085,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993725.3185177,52,154246686,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993726.3194728,53,154250287,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993727.319189,54,154253888,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993728.3185022,55,154257489,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993729.315316,56,154261090,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993730.322595,57,154264691,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993731.3343277,58,154268292,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993732.3246381,59,154271893,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993733.3190832,60,154275494,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993734.3196049,61,154279095,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993735.3373566,62,154282696,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993736.3341455,63,154286297,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993737.333768,64,154289898,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993738.3353026,65,154293499,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993739.336155,66,154441140,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993740.3338227,67,154444741,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993741.3338952,68,154448342,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993742.3176866,69,154451943,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.8,327475.71319640917,4690275.446175944,19,T
1663993743.334662,70,154455544,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
1663993744.331621,71,154459145,0,GPS1_Frame,42.345616666666665,-71.09451166666668,12.9,327475.71319640917,4690275.446175944,19,T
