Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,pos_stat
1665251017.9189527,153,3879,0,GPS1_Frame,42.338166833333325,-71.08644049999998,33.8,328120.26101956,4689431.851376644,19,T,4
1665251018.9436266,154,3880,0,GPS1_Frame,42.338166833333325,-71.08644049999998,33.8,328120.26101956,4689431.851376644,19,T,4
1665251019.9125493,155,3881,0,GPS1_Frame,42.338166833333325,-71.08644049999998,33.8,328120.26101956,4689431.851376644,19,T,4
1665251020.9341156,156,3882,0,GPS1_Frame,42.338167000000006,-71.08644049999998,33.8,328120.26147366356,4689431.869883709,19,T,4
1665251021.920052,157,3883,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251022.9378545,158,3884,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251023.910047,159,3885,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251024.9371634,160,3886,0,GPS1_Frame,42.338167000000006,-71.08644049999998,33.8,328120.26147366356,4689431.869883709,19,T,4
1665251025.9090652,161,3887,0,GPS1_Frame,42.338167000000006,-71.08644049999998,33.8,328120.26147366356,4689431.869883709,19,T,4
1665251026.9402,162,3888,0,GPS1_Frame,42.338167000000006,-71.08644049999998,33.8,328120.26147366356,4689431.869883709,19,T,4
1665251027.9141006,163,3889,0,GPS1_Frame,42.338167000000006,-71.08644016666668,33.8,328120.28893461043,4689431.869209906,19,T,4
1665251028.9395015,164,3890,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251029.9113297,165,3891,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251030.926984,166,3892,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251031.916459,167,3893,0,GPS1_Frame,42.338166833333325,-71.08644049999998,33.8,328120.26101956,4689431.851376644,19,T,4
1665251032.948392,168,3894,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251033.9160604,169,3895,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251034.936438,170,3896,0,GPS1_Frame,42.338166833333325,-71.08644033333333,33.8,328120.2747500345,4689431.851039743,19,T,4
1665251035.9130135,171,3897,0,GPS1_Frame,42.338167000000006,-71.08644016666668,33.8,328120.28893461043,4689431.869209906,19,T,4
1665251036.938677,172,3898,0,GPS1_Frame,42.33816716666667,-71.08644033333333,33.8,328120.2756582416,4689431.888053871,19,T,4
1665251037.9126823,173,3899,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251038.931642,174,3840,0,GPS1_Frame,42.33816716666667,-71.08644033333333,33.8,328120.2756582416,4689431.888053871,19,T,4
1665251039.908699,175,3841,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251040.9346776,176,3842,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251041.9146426,177,3843,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251042.948156,178,3844,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251043.9143121,179,3845,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251044.9517262,180,3846,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251045.9104562,181,3847,0,GPS1_Frame,42.33816716666667,-71.08644033333333,33.8,328120.2756582416,4689431.888053871,19,T,4
1665251046.9457977,182,3848,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251047.9097693,183,3849,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251048.9441104,184,3850,0,GPS1_Frame,42.338167000000006,-71.08644049999998,33.8,328120.26147366356,4689431.869883709,19,T,4
1665251049.9149954,185,3851,0,GPS1_Frame,42.338167000000006,-71.08644049999998,33.8,328120.26147366356,4689431.869883709,19,T,4
1665251050.92859,186,3852,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251051.9151375,187,3853,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251052.9291017,188,3854,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251053.9203331,189,3855,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251054.9392908,190,3856,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251055.9095566,191,3857,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
1665251056.9200716,192,3858,0,GPS1_Frame,42.338167000000006,-71.08644033333333,33.8,328120.2752041381,4689431.869546807,19,T,4
