Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,pos_stat
1665260723.1773028,521,7343,0,GPS1_Frame,42.338872499999994,-71.08807816666668,18.7,327987.26956563786,4689513.521988493,19,T,5
1665260724.1952996,522,7344,0,GPS1_Frame,42.338872333333335,-71.08807816666668,18.7,327987.26911117136,4689513.503481428,19,T,5
1665260725.19114,523,7345,0,GPS1_Frame,42.33887216666667,-71.088078,18.8,327987.282387027,4689513.484637192,19,T,5
1665260726.212552,524,7346,0,GPS1_Frame,42.33887183333333,-71.08807766666668,18.8,327987.3089387384,4689513.446948724,19,T,5
1665260727.192186,525,7347,0,GPS1_Frame,42.3388715,-71.08807733333332,18.7,327987.33549045236,4689513.409260258,19,T,5
1665260728.231111,526,7348,0,GPS1_Frame,42.33887133333332,-71.08807700000001,18.7,327987.36249662866,4689513.390078855,19,T,5
1665260729.2753887,527,7349,0,GPS1_Frame,42.33887116666667,-71.08807700000001,18.7,327987.36204216245,4689513.371571791,19,T,5
1665260730.2055204,528,7350,0,GPS1_Frame,42.33887116666667,-71.08807683333333,18.7,327987.3757724869,4689513.371234625,19,T,5
1665260731.23301,529,7351,0,GPS1_Frame,42.33887116666667,-71.08807683333333,18.8,327987.3757724869,4689513.371234625,19,T,5
1665260732.2353182,530,7352,0,GPS1_Frame,42.33887116666667,-71.08807683333333,18.8,327987.3757724869,4689513.371234625,19,T,5
1665260733.2353654,531,7353,0,GPS1_Frame,42.338871,-71.08807666666667,18.8,327987.38904834306,4689513.35239039,19,T,5
1665260734.2191865,532,7354,0,GPS1_Frame,42.338870666666665,-71.08807633333333,18.7,327987.4156000578,4689513.314701921,19,T,5
1665260735.248849,533,7355,0,GPS1_Frame,42.338870666666665,-71.08807650000001,18.8,327987.40186973114,4689513.315039089,19,T,5
1665260736.2011042,534,7356,0,GPS1_Frame,42.338870666666665,-71.08807666666667,18.8,327987.38813941064,4689513.315376256,19,T,5
1665260737.1995957,535,7357,0,GPS1_Frame,42.338870833333345,-71.08807700000001,18.8,327987.3611332298,4689513.334557657,19,T,5
1665260738.216053,536,7358,0,GPS1_Frame,42.338870833333345,-71.08807700000001,18.9,327987.3611332298,4689513.334557657,19,T,5
1665260739.2114174,537,7359,0,GPS1_Frame,42.338870833333345,-71.08807700000001,18.9,327987.3611332298,4689513.334557657,19,T,5
1665260740.2075248,538,7360,0,GPS1_Frame,42.338870833333345,-71.08807716666666,18.9,327987.3474029094,4689513.334894824,19,T,5
1665260741.203814,539,7361,0,GPS1_Frame,42.338870833333345,-71.08807766666668,19.0,327987.3062119398,4689513.335906325,19,T,5
1665260742.2091763,540,7362,0,GPS1_Frame,42.338870833333345,-71.088078,19.1,327987.2787512948,4689513.336580658,19,T,5
1665260743.1971242,541,7363,0,GPS1_Frame,42.338870833333345,-71.08807833333333,19.1,327987.2512906499,4689513.337254992,19,T,5
